  nnod     Lon    Lat      Cost    hs      dir   
  60718    0.110  39.900   0.000  0.61 140.66 
  59679    0.126  39.833   0.115  0.62 139.99 
  58640    0.143  39.767   0.229  0.62 138.83 
  57601    0.160  39.700   0.344  0.63 137.61 
  56562    0.176  39.633   0.459  0.64 136.55 
  55523    0.193  39.567   0.574  0.64 135.56 
  55263    0.193  39.550   0.602  0.64 135.24 
  55003    0.193  39.533   0.630  0.65 134.92 
  54743    0.193  39.517   0.658  0.65 134.58 
  54483    0.193  39.500   0.686  0.66 134.24 
  54223    0.193  39.483   0.714  0.66 133.90 
  53963    0.193  39.467   0.742  0.67 133.53 
  53703    0.193  39.450   0.771  0.67 133.17 
  53443    0.193  39.433   0.799  0.68 132.80 
  53183    0.193  39.417   0.827  0.69 132.41 
  52923    0.193  39.400   0.855  0.69 132.03 
  52663    0.193  39.383   0.883  0.70 131.64 
  52403    0.193  39.367   0.911  0.70 131.25 
  52143    0.193  39.350   0.939  0.71 130.87 
  51883    0.193  39.333   0.968  0.71 130.48 
  51623    0.193  39.317   0.996  0.72 130.11 
  51363    0.193  39.300   1.024  0.73 129.75 
  51103    0.193  39.283   1.052  0.73 129.39 
  50843    0.193  39.267   1.080  0.74 129.05 
  50583    0.193  39.250   1.108  0.75 128.71 
  50323    0.193  39.233   1.136  0.75 128.38 
  50063    0.193  39.217   1.165  0.76 128.06 
  49803    0.193  39.200   1.193  0.77 127.72 
  49543    0.193  39.183   1.221  0.77 127.36 
  49283    0.193  39.167   1.249  0.78 126.98 
  49023    0.193  39.150   1.277  0.78 126.61 
  48763    0.193  39.133   1.305  0.79 126.20 
  48503    0.193  39.117   1.334  0.79 125.77 
  47464    0.210  39.050   1.448  0.81 123.98 
  47204    0.210  39.033   1.477  0.81 123.44 
  46944    0.210  39.017   1.505  0.79 122.34 
  46684    0.210  39.000   1.533  0.79 121.74 
  46424    0.210  38.983   1.561  0.79 121.13 
  46164    0.210  38.967   1.589  0.79 120.51 
  45125    0.226  38.900   1.704  0.80 118.55 
  44086    0.243  38.833   1.819  0.80 116.88 
  43826    0.243  38.817   1.847  0.80 116.47 
  42787    0.260  38.750   1.962  0.85 116.32 
  41744    0.210  38.683   2.093  0.84 116.78 
  40962    0.176  38.633   2.189  0.84 115.90 
  40180    0.143  38.583   2.284  0.85 115.24 
  39398    0.110  38.533   2.379  0.85 114.33 
  38616    0.076  38.483   2.475  0.85 113.16 
  37834    0.043  38.433   2.570  0.83 111.58 
  37052    0.010  38.383   2.666  0.83 109.79 
  36270   -0.024  38.333   2.762  0.84 107.94 
  35488   -0.057  38.283   2.857  0.85 106.09 
  34967   -0.074  38.250   2.918  0.85 105.00 
  34446   -0.090  38.217   2.978  0.86 103.97 
  33925   -0.107  38.183   3.039  0.87 103.04 
  33404   -0.124  38.150   3.100  0.88 102.19 
  32883   -0.140  38.117   3.160  0.89 101.44 
  32362   -0.157  38.083   3.221  0.89 100.76 
  31841   -0.174  38.050   3.282  0.90 100.14 
  31320   -0.190  38.017   3.343  0.91  99.60 
