  nnod     Lon    Lat      Cost    hs      dir   
 155921  140.925  36.050   9.387  3.62  69.97 
 155279  140.925  36.025   9.423  3.59  69.48 
 154637  140.925  36.000   9.459  3.56  68.99 
 153995  140.925  35.975   9.495  3.54  68.61 
 153353  140.925  35.950   9.531  3.46  64.79 
 152711  140.925  35.925   9.567  3.44  64.43 
 152069  140.925  35.900   9.603  3.43  64.21 
 151427  140.925  35.875   9.639  3.43  64.03 
 150785  140.925  35.850   9.675  3.42  63.85 
 150143  140.925  35.825   9.711  3.41  63.73 
 147574  140.900  35.725   9.856  3.17  70.16 
 146931  140.875  35.700   9.898  3.01  77.86 
 146288  140.850  35.675   9.943  2.84  85.51 
 145645  140.825  35.650   9.987  2.78  90.21 
 145002  140.800  35.625  10.031  2.74  94.11 
 143072  140.700  35.550  10.174  2.62  91.93 
 142429  140.675  35.525  10.217  2.70  90.52 
 139858  140.600  35.425  10.376  2.74  89.80 
 137287  140.525  35.325  10.535  2.84  83.31 
 135357  140.425  35.250  10.679  2.60  87.83 
 132786  140.350  35.150  10.837  2.65  91.07 
 132142  140.300  35.125  10.899  2.56  96.65 
 130212  140.200  35.050  11.047  2.38 100.29 
 129568  140.150  35.025  11.109  2.38  99.46 
 128925  140.125  35.000  11.151  2.48  97.64 
 128282  140.100  34.975  11.195  2.46  97.49 
 126352  140.000  34.900  11.342  2.36  99.18 
 125706  139.900  34.875  11.452  2.19 102.84 
 125060  139.800  34.850  11.561  2.13  96.96 
 124414  139.700  34.825  11.671  2.19  96.31 
 123769  139.625  34.800  11.756  2.21  97.51 
 123124  139.550  34.775  11.841  2.23  99.18 
 122479  139.475  34.750  11.926  2.17 101.18 
 121834  139.400  34.725  12.011  2.02 104.81 
 121189  139.325  34.700  12.095  1.91 107.76 
 120544  139.250  34.675  12.180  1.95 104.13 
 119899  139.175  34.650  12.264  2.01 101.83 
 119254  139.100  34.625  12.349  2.08  97.84 
 118609  139.025  34.600  12.434  2.19  95.22 
 117964  138.950  34.575  12.519  2.25  90.45 
 117319  138.875  34.550  12.604  2.20  91.58 
 116674  138.800  34.525  12.689  2.23  91.16 
 116029  138.725  34.500  12.774  2.25  90.05 
 115383  138.625  34.475  12.883  2.08  89.63 
 114737  138.525  34.450  12.995  1.96  88.95 
 114092  138.450  34.425  13.080  1.91  83.13 
 113447  138.375  34.400  13.164  1.91  62.72 
 112802  138.300  34.375  13.249  1.95  26.70 
 112156  138.200  34.350  13.361  2.00 352.46 
 111511  138.125  34.325  13.448  2.06 337.28 
 110866  138.050  34.300  13.535  1.96  24.83 
 110221  137.975  34.275  13.623  2.02   9.56 
 109576  137.900  34.250  13.710  2.08 358.87 
 108931  137.825  34.225  13.798  2.14 351.30 
 108286  137.750  34.200  13.886  2.19 349.57 
 107641  137.675  34.175  13.975  2.23 348.80 
 106996  137.600  34.150  14.063  2.26 350.82 
 106351  137.525  34.125  14.151  2.28 353.16 
 105706  137.450  34.100  14.239  2.29 354.90 
 105061  137.375  34.075  14.327  2.29 357.05 
 104416  137.300  34.050  14.416  2.28   0.57 
 103771  137.225  34.025  14.504  2.08  15.36 
 103126  137.150  34.000  14.592  2.07  16.40 
 101839  137.075  33.950  14.694  2.05  22.03 
 101195  137.025  33.925  14.756  2.03  26.18 
 100551  136.975  33.900  14.818  2.00  30.68 
  99907  136.925  33.875  14.879  1.96  35.69 
  99263  136.875  33.850  14.941  1.93  40.81 
  98619  136.825  33.825  15.003  1.90  45.29 
  97975  136.775  33.800  15.064  1.87  50.49 
  97331  136.725  33.775  15.125  1.84  53.09 
  96687  136.675  33.750  15.187  1.80  53.09 
  96043  136.625  33.725  15.248  1.77  57.40 
  95399  136.575  33.700  15.310  1.73  62.61 
  94755  136.525  33.675  15.371  1.69  67.97 
  94111  136.475  33.650  15.432  1.66  72.79 
  93467  136.425  33.625  15.493  1.63  77.25 
  92823  136.375  33.600  15.555  1.58  78.67 
  92179  136.325  33.575  15.616  1.56  81.05 
  91535  136.275  33.550  15.677  1.55  82.68 
  90891  136.225  33.525  15.738  1.54  83.07 
  90247  136.175  33.500  15.799  1.53  82.19 
  89603  136.125  33.475  15.861  1.52  82.76 
  88959  136.075  33.450  15.922  1.51  83.59 
  88315  136.025  33.425  15.983  1.50  84.18 
  87671  135.975  33.400  16.044  1.49  84.51 
  87027  135.925  33.375  16.106  1.47  84.71 
  86383  135.875  33.350  16.167  1.47  84.31 
  85739  135.825  33.325  16.228  1.47  84.16 
  85095  135.775  33.300  16.289  1.48  84.55 
  84451  135.725  33.275  16.351  1.50  84.74 
  83807  135.675  33.250  16.412  1.52  84.74 
  83163  135.625  33.225  16.473  1.53  83.20 
  82519  135.575  33.200  16.534  1.52  83.02 
  81875  135.525  33.175  16.596  1.53  81.47 
  81231  135.475  33.150  16.657  1.54  79.82 
  80587  135.425  33.125  16.719  1.55  78.04 
  79943  135.375  33.100  16.780  1.56  76.25 
  79299  135.325  33.075  16.842  1.57  74.72 
  78655  135.275  33.050  16.903  1.59  73.37 
  78011  135.225  33.025  16.965  1.60  72.32 
  77367  135.175  33.000  17.027  1.61  71.41 
  76723  135.125  32.975  17.088  1.62  70.65 
  76079  135.075  32.950  17.150  1.63  69.96 
  75435  135.025  32.925  17.211  1.64  69.42 
  74791  134.975  32.900  17.273  1.65  69.12 
  74147  134.925  32.875  17.334  1.66  68.99 
  73503  134.875  32.850  17.396  1.67  68.86 
  72859  134.825  32.825  17.458  1.67  68.87 
  72215  134.775  32.800  17.520  1.60  77.09 
  71571  134.725  32.775  17.581  1.60  77.12 
  70927  134.675  32.750  17.643  1.61  77.12 
  70283  134.625  32.725  17.705  1.61  76.74 
  69639  134.575  32.700  17.767  1.62  76.40 
  68995  134.525  32.675  17.828  1.63  76.13 
  68351  134.475  32.650  17.890  1.64  75.93 
  67707  134.425  32.625  17.952  1.65  75.79 
