  nnod     Lon    Lat      Cost    hs      dir   
   7000    3.076  36.882   0.000  0.41  29.84 
   6999    3.051  36.882   0.032  0.41  30.39 
   6998    3.026  36.882   0.064  0.41  30.93 
   6997    3.001  36.882   0.096  0.41  31.48 
   6996    2.976  36.882   0.127  0.41  32.14 
   6995    2.951  36.882   0.159  0.40  32.81 
   6994    2.926  36.882   0.191  0.40  33.48 
   6993    2.901  36.882   0.223  0.40  34.07 
   6992    2.876  36.882   0.255  0.40  34.62 
   6991    2.851  36.882   0.287  0.39  35.17 
   6990    2.826  36.882   0.319  0.39  35.72 
   6989    2.801  36.882   0.351  0.39  36.27 
   6988    2.776  36.882   0.382  0.39  36.89 
   6987    2.751  36.882   0.414  0.39  37.50 
   6986    2.726  36.882   0.446  0.39  38.12 
   6985    2.701  36.882   0.478  0.39  38.73 
   6984    2.676  36.882   0.510  0.37  33.74 
   6983    2.651  36.882   0.542  0.37  34.35 
   6982    2.626  36.882   0.574  0.37  34.97 
   6981    2.601  36.882   0.605  0.37  35.58 
   6980    2.576  36.882   0.637  0.37  36.16 
   6979    2.551  36.882   0.669  0.37  36.75 
   6978    2.526  36.882   0.701  0.36  37.34 
   6977    2.501  36.882   0.733  0.36  37.91 
   6976    2.476  36.882   0.765  0.36  38.47 
   6975    2.451  36.882   0.797  0.36  39.03 
   6974    2.426  36.882   0.828  0.36  39.58 
   6973    2.401  36.882   0.860  0.36  40.14 
   6972    2.376  36.882   0.892  0.36  40.68 
   6971    2.351  36.882   0.924  0.36  41.22 
   6970    2.326  36.882   0.956  0.36  41.76 
   6969    2.301  36.882   0.987  0.36  42.29 
   6968    2.276  36.882   1.019  0.36  42.82 
   6967    2.251  36.882   1.051  0.36  43.32 
   6966    2.226  36.882   1.083  0.36  43.82 
   6965    2.201  36.882   1.115  0.36  44.32 
   6964    2.176  36.882   1.147  0.36  44.68 
   6963    2.151  36.882   1.179  0.36  45.04 
   6962    2.126  36.882   1.210  0.36  45.40 
   6961    2.101  36.882   1.242  0.36  45.87 
   6960    2.076  36.882   1.274  0.37  46.41 
   6959    2.051  36.882   1.306  0.37  46.94 
   6958    2.026  36.882   1.338  0.37  47.47 
   6957    2.001  36.882   1.369  0.37  48.00 
   6956    1.976  36.882   1.401  0.38  48.32 
   6955    1.951  36.882   1.433  0.38  48.64 
   6954    1.926  36.882   1.465  0.39  48.95 
   6953    1.901  36.882   1.497  0.39  49.26 
   6952    1.876  36.882   1.529  0.35  45.71 
   6951    1.851  36.882   1.560  0.35  45.71 
   6950    1.826  36.882   1.592  0.35  45.72 
   6949    1.801  36.882   1.624  0.36  45.72 
   6948    1.776  36.882   1.656  0.36  45.95 
   6947    1.751  36.882   1.688  0.36  46.18 
   6946    1.726  36.882   1.720  0.36  46.42 
   6945    1.701  36.882   1.751  0.36  46.66 
   6944    1.676  36.882   1.783  0.36  46.86 
   6943    1.651  36.882   1.815  0.36  46.96 
   6942    1.626  36.882   1.847  0.36  47.06 
   6941    1.601  36.882   1.879  0.36  47.16 
   6940    1.576  36.882   1.911  0.36  47.42 
   6939    1.551  36.882   1.942  0.36  47.69 
   6938    1.526  36.882   1.974  0.37  47.95 
   6937    1.501  36.882   2.006  0.37  48.22 
   6936    1.476  36.882   2.038  0.37  48.49 
   6935    1.451  36.882   2.070  0.37  48.76 
   6934    1.426  36.882   2.102  0.37  49.03 
   6933    1.401  36.882   2.133  0.37  49.30 
   6932    1.376  36.882   2.165  0.37  49.66 
   6931    1.351  36.882   2.197  0.37  50.01 
   6930    1.326  36.882   2.229  0.37  50.37 
   6929    1.301  36.882   2.261  0.37  50.72 
   6928    1.276  36.882   2.292  0.37  51.05 
   6927    1.251  36.882   2.324  0.37  51.39 
   6926    1.226  36.882   2.356  0.37  51.72 
   6925    1.201  36.882   2.388  0.37  52.06 
   6924    1.176  36.882   2.420  0.37  52.26 
   6923    1.151  36.882   2.452  0.37  52.46 
   6922    1.126  36.882   2.483  0.37  52.66 
   6921    1.101  36.882   2.515  0.40  53.48 
   6920    1.076  36.882   2.547  0.40  53.60 
   6919    1.051  36.882   2.579  0.40  53.88 
   6918    1.026  36.882   2.611  0.40  54.16 
   6917    1.001  36.882   2.643  0.40  54.44 
   6916    0.976  36.882   2.674  0.40  54.36 
   6915    0.951  36.882   2.706  0.40  54.26 
   6914    0.926  36.882   2.738  0.40  54.16 
