  nnod     Lon    Lat      Cost    hs      dir   
 149586  -73.938  25.794   9.482  1.74  47.19 
 149587  -73.913  25.794   9.519  1.66  42.58 
 149588  -73.888  25.794   9.557  1.66  42.48 
 149589  -73.863  25.794   9.594  1.66  42.37 
 149590  -73.838  25.794   9.631  1.66  42.27 
 149591  -73.813  25.794   9.668  1.66  42.17 
 149592  -73.788  25.794   9.705  1.66  42.01 
 149593  -73.763  25.794   9.742  1.66  41.90 
 149594  -73.738  25.794   9.779  1.66  41.78 
 149595  -73.713  25.794   9.817  1.67  41.67 
 149596  -73.688  25.794   9.854  1.67  41.55 
 149597  -73.663  25.794   9.891  1.67  41.44 
 149598  -73.638  25.794   9.928  1.67  41.32 
 149599  -73.613  25.794   9.965  1.67  41.21 
 149600  -73.588  25.794  10.002  1.67  41.12 
 149601  -73.563  25.794  10.038  1.67  41.07 
 149602  -73.538  25.794  10.075  1.67  41.02 
 149603  -73.513  25.794  10.111  1.68  40.96 
 149604  -73.488  25.794  10.147  1.68  40.91 
 149605  -73.463  25.794  10.183  1.68  40.85 
 149606  -73.438  25.794  10.220  1.68  40.80 
 149607  -73.413  25.794  10.256  1.68  40.75 
 149608  -73.388  25.794  10.292  1.68  40.63 
 149609  -73.363  25.794  10.328  1.68  40.55 
 149610  -73.338  25.794  10.365  1.69  40.47 
 149611  -73.313  25.794  10.401  1.69  40.40 
 149612  -73.288  25.794  10.437  1.69  40.32 
 149613  -73.263  25.794  10.473  1.69  40.24 
 149614  -73.238  25.794  10.510  1.67  39.53 
 149615  -73.213  25.794  10.546  1.68  39.39 
 149616  -73.188  25.794  10.582  1.68  39.22 
 149617  -73.163  25.794  10.619  1.69  39.03 
 149618  -73.138  25.794  10.655  1.70  38.84 
 149619  -73.113  25.794  10.691  1.70  38.65 
 149620  -73.088  25.794  10.728  1.71  38.47 
 149621  -73.063  25.794  10.764  1.71  38.28 
 149622  -73.038  25.794  10.800  1.72  38.09 
 149623  -73.013  25.794  10.836  1.73  37.90 
 149624  -72.988  25.794  10.873  1.73  37.72 
 149625  -72.963  25.794  10.909  1.74  37.54 
 149626  -72.938  25.794  10.946  1.75  37.36 
 149627  -72.913  25.794  10.982  1.76  37.17 
 149628  -72.888  25.794  11.018  1.77  36.99 
 149629  -72.863  25.794  11.055  1.78  36.81 
 149630  -72.838  25.794  11.091  1.79  36.63 
 149631  -72.813  25.794  11.128  1.80  36.45 
 149632  -72.788  25.794  11.164  1.80  36.30 
 149633  -72.763  25.794  11.201  1.81  36.19 
 149634  -72.738  25.794  11.237  1.82  36.08 
 149635  -72.713  25.794  11.274  1.83  35.97 
 149636  -72.688  25.794  11.310  1.84  35.86 
 149637  -72.663  25.794  11.347  1.85  35.75 
 149638  -72.638  25.794  11.383  1.86  35.64 
 149639  -72.613  25.794  11.420  1.87  35.53 
 149640  -72.588  25.794  11.456  1.87  35.41 
 149641  -72.563  25.794  11.493  1.88  35.30 
