  nnod     Lon    Lat      Cost    hs      dir   
 227812  -33.708  37.269  21.039  1.66 327.08 
 230223  -33.608  37.403  21.289  1.67 326.41 
 232634  -33.508  37.536  21.538  1.69 324.07 
 235045  -33.408  37.669  21.788  1.71 323.17 
 237456  -33.308  37.803  22.038  1.72 322.21 
 239867  -33.208  37.936  22.287  1.74 321.73 
 242278  -33.108  38.069  22.536  1.75 320.14 
 244689  -33.008  38.203  22.785  1.76 320.13 
 247100  -32.908  38.336  23.034  1.77 319.67 
 249511  -32.808  38.469  23.282  1.78 319.07 
 251922  -32.708  38.603  23.531  1.76 317.85 
 254333  -32.608  38.736  23.779  1.76 317.05 
 256744  -32.508  38.869  24.027  1.76 316.08 
 259155  -32.408  39.003  24.275  1.76 314.95 
 261566  -32.308  39.136  24.522  1.67 311.66 
 263977  -32.208  39.269  24.769  1.66 310.58 
 266388  -32.108  39.403  25.016  1.65 310.02 
 268799  -32.008  39.536  25.262  1.65 310.94 
 271210  -31.908  39.669  25.508  1.48 311.56 
 273621  -31.808  39.803  25.754  1.50 311.93 
 276032  -31.708  39.936  26.000  1.53 312.52 
 278443  -31.608  40.069  26.244  1.55 312.70 
 280854  -31.508  40.203  26.489  1.57 312.61 
 283265  -31.408  40.336  26.734  1.61 313.68 
 285676  -31.308  40.469  26.979  1.63 313.40 
 288087  -31.208  40.603  27.224  1.65 312.95 
 290498  -31.108  40.736  27.469  1.67 312.50 
 292909  -31.008  40.869  27.714  1.66 311.08 
 295320  -30.908  41.003  27.959  1.67 310.48 
 297731  -30.808  41.136  28.204  1.67 309.79 
 300142  -30.708  41.269  28.448  1.67 309.32 
 302553  -30.608  41.403  28.692  1.62 308.97 
 304964  -30.508  41.536  28.936  1.61 309.19 
 307375  -30.408  41.669  29.180  1.60 309.24 
 309786  -30.308  41.803  29.423  1.60 309.73 
 312197  -30.208  41.936  29.666  1.55 310.98 
 314608  -30.108  42.069  29.909  1.55 310.04 
 317019  -30.008  42.203  30.152  1.55 308.75 
 319430  -29.908  42.336  30.394  1.55 307.87 
 321841  -29.808  42.469  30.637  1.52 313.25 
 324252  -29.708  42.603  30.879  1.54 314.72 
 326663  -29.608  42.736  31.121  1.56 316.56 
 327266  -29.574  42.769  31.187  1.56 317.04 
 327869  -29.541  42.803  31.253  1.57 317.43 
 328472  -29.508  42.836  31.319  1.57 317.56 
 329075  -29.474  42.869  31.384  1.57 317.70 
 329678  -29.441  42.903  31.450  1.57 317.73 
 330281  -29.408  42.936  31.516  1.72 358.06 
 332692  -29.308  43.069  31.759  1.64 349.82 
 333295  -29.274  43.103  31.825  1.62 346.28 
 333898  -29.241  43.136  31.890  1.60 342.87 
 334501  -29.208  43.169  31.956  1.58 339.46 
 335104  -29.174  43.203  32.021  1.57 336.39 
 335707  -29.141  43.236  32.088  1.58 334.68 
 336310  -29.108  43.269  32.154  1.59 332.96 
 336913  -29.074  43.303  32.220  1.60 331.52 
 337516  -29.041  43.336  32.286  1.61 330.45 
 338119  -29.008  43.369  32.352  1.63 329.37 
 338722  -28.974  43.403  32.418  1.64 328.42 
 339325  -28.941  43.436  32.484  1.64 328.67 
 339928  -28.908  43.469  32.550  1.79 356.69 
 340531  -28.874  43.503  32.617  1.78 355.35 
 341134  -28.841  43.536  32.683  1.77 354.02 
 341737  -28.808  43.569  32.749  1.76 352.69 
 342340  -28.774  43.603  32.815  1.76 351.67 
 342943  -28.741  43.636  32.881  1.76 352.16 
 343546  -28.708  43.669  32.947  1.76 352.64 
 344149  -28.674  43.703  33.014  1.76 353.23 
 344752  -28.641  43.736  33.081  1.76 353.97 
 345355  -28.608  43.769  33.148  1.77 354.70 
 345958  -28.574  43.803  33.215  1.77 355.62 
 346561  -28.541  43.836  33.282  1.77 358.04 
 347164  -28.508  43.869  33.350  1.78   0.49 
 347767  -28.474  43.903  33.417  1.79   2.93 
 348370  -28.441  43.936  33.485  1.80   5.32 
 348973  -28.408  43.969  33.552  2.02  26.88 
 349576  -28.374  44.003  33.620  2.03  28.12 
 350179  -28.341  44.036  33.688  2.06  30.33 
 350782  -28.308  44.069  33.756  2.09  32.57 
 351385  -28.274  44.103  33.824  2.12  34.99 
 351988  -28.241  44.136  33.893  2.14  37.62 
 352591  -28.208  44.169  33.961  2.17  40.24 
 355002  -28.108  44.303  34.217  2.27  47.99 
 357413  -28.008  44.436  34.472  2.34  54.86 
 359824  -27.908  44.569  34.726  2.44  67.23 
 362235  -27.808  44.703  34.980  2.39  68.28 
 364646  -27.708  44.836  35.233  2.31  68.72 
 367057  -27.608  44.969  35.485  2.21  67.94 
 369468  -27.508  45.103  35.736  2.12  70.54 
 371879  -27.408  45.236  35.986  2.04  67.07 
 374290  -27.308  45.369  36.236  1.96  61.86 
 376701  -27.208  45.503  36.485  1.90  54.96 
 379112  -27.108  45.636  36.735  1.93  42.87 
 381523  -27.008  45.769  36.986  1.89  31.60 
 383934  -26.908  45.903  37.237  1.85  19.92 
 386345  -26.808  46.036  37.487  1.83   8.73 
 388756  -26.708  46.169  37.734  1.91 353.60 
 389359  -26.674  46.203  37.801  1.90 351.47 
 389962  -26.641  46.236  37.867  1.90 349.90 
 390565  -26.608  46.269  37.933  1.89 348.32 
 391168  -26.574  46.303  37.999  1.88 346.86 
 391771  -26.541  46.336  38.066  1.88 345.43 
 392374  -26.508  46.369  38.132  1.87 344.01 
 392977  -26.474  46.403  38.198  1.86 342.61 
 393580  -26.441  46.436  38.264  1.86 341.54 
 394183  -26.408  46.469  38.329  1.85 340.63 
 394786  -26.374  46.503  38.395  1.85 339.71 
 395389  -26.341  46.536  38.461  1.84 338.78 
 395992  -26.308  46.569  38.527  1.90 333.54 
 396595  -26.274  46.603  38.592  1.89 333.06 
 397198  -26.241  46.636  38.658  1.89 332.55 
 397801  -26.208  46.669  38.723  1.88 332.08 
 398404  -26.174  46.703  38.789  1.88 331.60 
 399007  -26.141  46.736  38.854  1.87 331.13 
 399610  -26.108  46.769  38.920  1.87 330.65 
 400213  -26.074  46.803  38.985  1.86 330.18 
 400816  -26.041  46.836  39.051  1.86 329.74 
 401419  -26.008  46.869  39.116  1.86 329.30 
 402022  -25.974  46.903  39.181  1.85 328.89 
 402625  -25.941  46.936  39.247  1.85 328.48 
 403228  -25.908  46.969  39.312  1.85 328.08 
 403831  -25.874  47.003  39.377  1.85 327.68 
 404434  -25.841  47.036  39.442  1.85 327.33 
 405037  -25.808  47.069  39.507  1.82 321.04 
 405640  -25.774  47.103  39.572  1.82 321.05 
 406243  -25.741  47.136  39.637  1.82 321.06 
 406846  -25.708  47.169  39.703  1.82 321.12 
 407449  -25.674  47.203  39.768  1.83 321.19 
 408052  -25.641  47.236  39.833  1.83 321.31 
 408655  -25.608  47.269  39.898  1.83 321.44 
 409258  -25.574  47.303  39.963  1.83 321.55 
 409861  -25.541  47.336  40.028  1.83 321.65 
 410464  -25.508  47.369  40.092  1.83 321.75 
 411067  -25.474  47.403  40.157  1.83 321.85 
 411670  -25.441  47.436  40.222  1.83 321.95 
 412273  -25.408  47.469  40.287  1.83 322.00 
 412876  -25.374  47.503  40.352  1.83 322.06 
 413479  -25.341  47.536  40.416  1.83 322.11 
 414082  -25.308  47.569  40.481  1.83 322.17 
 414685  -25.274  47.603  40.546  1.83 316.24 
 415288  -25.241  47.636  40.611  1.83 316.27 
 415891  -25.208  47.669  40.675  1.82 316.31 
 416494  -25.174  47.703  40.740  1.82 316.31 
 417097  -25.141  47.736  40.805  1.81 316.31 
 417700  -25.108  47.769  40.869  1.81 316.31 
 418303  -25.074  47.803  40.934  1.80 316.31 
 418906  -25.041  47.836  40.999  1.79 316.39 
 419509  -25.008  47.869  41.063  1.79 316.46 
 420112  -24.974  47.903  41.127  1.78 316.55 
 420715  -24.941  47.936  41.192  1.77 316.65 
 421318  -24.908  47.969  41.256  1.77 316.74 
 421921  -24.874  48.003  41.320  1.76 316.83 
 422524  -24.841  48.036  41.385  1.75 316.79 
 423127  -24.808  48.069  41.449  1.75 316.73 
