  nnod     Lon    Lat      Cost    hs      dir   
  30038  -61.239  14.598   0.000  1.28  73.61 
  31005  -61.339  14.631   0.162  1.53  72.15 
  31972  -61.439  14.664   0.325  1.75  70.97 
  32939  -61.539  14.698   0.488  1.90  70.76 
  33906  -61.639  14.731   0.651  1.86  70.41 
  34873  -61.739  14.764   0.814  1.92  71.10 
  35840  -61.839  14.798   0.978  1.98  71.56 
  36807  -61.939  14.831   1.141  2.06  73.30 
  37774  -62.039  14.864   1.304  2.13  75.00 
  38741  -62.139  14.898   1.466  2.19  76.26 
  39708  -62.239  14.931   1.629  2.17  75.98 
  40675  -62.339  14.964   1.792  2.21  76.44 
  41642  -62.439  14.998   1.955  2.25  76.85 
  42609  -62.539  15.031   2.118  2.26  76.74 
  43576  -62.639  15.064   2.281  2.26  76.49 
  44543  -62.739  15.098   2.443  2.26  76.00 
  45510  -62.839  15.131   2.606  2.21  74.07 
  46477  -62.939  15.164   2.769  2.21  73.32 
  47444  -63.039  15.198   2.933  2.21  72.52 
  48411  -63.139  15.231   3.096  2.20  71.57 
  49377  -63.272  15.264   3.308  2.18  71.35 
  50344  -63.372  15.298   3.471  2.15  71.28 
  51310  -63.505  15.331   3.682  2.11  68.90 
  52276  -63.639  15.364   3.894  2.10  69.68 
  53242  -63.772  15.398   4.105  2.10  70.09 
  54208  -63.905  15.431   4.317  2.10  70.10 
  55174  -64.039  15.464   4.528  2.14  68.93 
  56140  -64.172  15.498   4.740  2.16  68.80 
  57106  -64.305  15.531   4.952  2.17  68.56 
  58072  -64.439  15.564   5.163  2.19  68.43 
  59038  -64.572  15.598   5.375  2.20  68.55 
  60004  -64.705  15.631   5.587  2.25  68.37 
  60970  -64.839  15.664   5.799  2.25  68.80 
  61936  -64.972  15.698   6.010  2.25  69.26 
  62902  -65.105  15.731   6.222  2.26  69.73 
  63868  -65.239  15.764   6.434  2.27  70.20 
  64834  -65.372  15.798   6.645  2.27  71.51 
  65800  -65.505  15.831   6.856  2.27  72.06 
  66766  -65.639  15.864   7.068  2.27  72.64 
  67732  -65.772  15.898   7.279  2.27  73.16 
  68698  -65.905  15.931   7.490  2.26  73.66 
  69664  -66.039  15.964   7.701  2.22  75.16 
  70630  -66.172  15.998   7.911  2.22  75.30 
  71596  -66.305  16.031   8.122  2.21  75.70 
  72562  -66.439  16.064   8.332  2.20  76.22 
  73528  -66.572  16.098   8.543  2.12  77.84 
  74494  -66.705  16.131   8.753  2.12  78.03 
  75460  -66.839  16.164   8.963  2.12  78.10 
  76426  -66.972  16.198   9.173  2.12  78.20 
  77392  -67.105  16.231   9.383  2.12  78.04 
